"DEJAVNOST","2010 CO2 (Gg)","2010 N2O (Mg)","2010 CH4 (Mg)","2010 SF6 (Mg)","2011 CO2 (Gg)","2011 N2O (Mg)","2011 CH4 (Mg)","2011 SF6 (Mg)","2012 CO2 (Gg)","2012 N2O (Mg)","2012 CH4 (Mg)","2012 SF6 (Mg)","2013 CO2 (Gg)","2013 N2O (Mg)","2013 CH4 (Mg)","2013 SF6 (Mg)","2014 CO2 (Gg)","2014 N2O (Mg)","2014 CH4 (Mg)","2014 SF6 (Mg)","2015 CO2 (Gg)","2015 N2O (Mg)","2015 CH4 (Mg)","2015 SF6 (Mg)","2016 CO2 (Gg)","2016 N2O (Mg)","2016 CH4 (Mg)","2016 SF6 (Mg)","2017 CO2 (Gg)","2017 N2O (Mg)","2017 CH4 (Mg)","2017 SF6 (Mg)"
"N(80-82) Varovanje in poizvedovalne dejavnosti; dejavnost oskrbe stavb in okolice; pisarniške in spremljajoèe poslovne storitvene dejavnosti",104.1,2.3,5.4,-,113.0,2.8,5.1,-,108.5,3.0,4.4,-,101.0,3.0,4.2,-,103.8,3.3,4.0,-,108.0,3.6,4.0,-,112.5,4.3,3.3,-,122.4,5.2,2.8,-
"O Dejavnost javne uprave in obrambe; dejavnost obvezne socialne varnosti",41.6,1.0,2.6,-,43.5,1.1,2.3,-,42.2,1.2,2.0,-,33.8,1.0,1.6,-,61.8,1.2,4.8,-,76.0,1.7,5.6,-,85.6,2.0,6.0,-,80.6,2.3,4.8,-
"O84 Dejavnost javne uprave in obrambe; dejavnost obvezne socialne varnosti",41.6,1.0,2.6,-,43.5,1.1,2.3,-,42.2,1.2,2.0,-,33.8,1.0,1.6,-,61.8,1.2,4.8,-,76.0,1.7,5.6,-,85.6,2.0,6.0,-,80.6,2.3,4.8,-
"P Izobraževanje",118.0,1.3,13.2,-,106.9,1.3,11.3,-,83.2,1.2,8.3,-,85.9,1.2,8.6,-,76.8,1.2,7.1,-,83.8,1.3,7.7,-,94.7,1.5,8.6,-,82.1,1.6,6.8,-
"P85 Izobraževanje",118.0,1.3,13.2,-,106.9,1.3,11.3,-,83.2,1.2,8.3,-,85.9,1.2,8.6,-,76.8,1.2,7.1,-,83.8,1.3,7.7,-,94.7,1.5,8.6,-,82.1,1.6,6.8,-
"Q Zdravstvo in socialno varstvo",121.4,99.2,14.2,-,112.5,160.2,12.7,-,86.1,197.1,9.3,-,88.7,121.1,9.7,-,82.0,81.0,8.4,-,92.8,128.6,9.4,-,111.8,128.9,11.2,-,93.7,69.4,8.8,-
"Q86 Zdravstvo",89.5,98.9,10.7,-,82.9,159.9,9.6,-,62.6,196.8,7.0,-,64.7,120.7,7.2,-,57.2,80.7,6.0,-,64.7,128.2,6.7,-,77.6,128.4,8.0,-,64.3,68.8,6.3,-
"Q(87-88) Socialno varstvo",31.9,0.4,3.6,-,29.6,0.4,3.1,-,23.5,0.3,2.4,-,24.0,0.3,2.5,-,24.9,0.3,2.5,-,28.0,0.4,2.7,-,34.2,0.5,3.2,-,29.5,0.5,2.5,-
"R Kulturne, razvedrilne in rekreacijske dejavnosti",61.2,0.9,6.0,-,60.5,1.0,5.5,-,56.3,1.0,4.9,-,54.0,1.0,4.8,-,37.6,0.9,2.5,-,40.4,1.0,2.6,-,45.1,1.2,2.9,-,44.6,1.4,2.4,-
"R(90-92) Kulturne in razvedrilne dejavnosti; dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti; prirejanje iger na sreèo",32.4,0.5,2.9,-,32.4,0.6,2.7,-,29.5,0.6,2.2,-,26.5,0.6,2.0,-,23.0,0.6,1.4,-,25.3,0.7,1.6,-,27.8,0.8,1.6,-,28.2,0.9,1.4,-
"R93 Športne in druge dejavnosti za prosti èas",28.8,0.4,3.1,-,28.1,0.4,2.9,-,26.8,0.4,2.7,-,27.5,0.4,2.8,-,14.6,0.3,1.1,-,15.1,0.3,1.1,-,17.2,0.4,1.3,-,16.5,0.4,1.0,-
"S Druge dejavnosti",75.0,1.3,6.5,-,74.5,1.4,5.8,-,65.4,1.5,4.5,-,64.1,1.5,4.5,-,57.2,1.5,3.4,-,59.6,1.6,3.5,-,65.2,1.9,3.6,-,64.8,2.2,3.0,-
"S94 Dejavnost èlanskih organizacij",12.6,0.2,1.3,-,11.6,0.2,1.1,-,10.2,0.2,1.0,-,10.3,0.2,1.0,-,4.8,0.1,0.3,-,4.8,0.2,0.2,-,5.3,0.2,0.2,-,5.2,0.2,0.2,-
"S95 Popravila raèunalnikov in izdelkov za široko rabo",15.2,0.3,0.9,-,16.3,0.4,0.8,-,15.6,0.4,0.7,-,15.0,0.4,0.7,-,13.2,0.4,0.4,-,13.6,0.5,0.4,-,14.2,0.6,0.3,-,15.8,0.7,0.3,-
