"DEJAVNOST","2010 CO2 (Gg)","2011 CO2 (Gg)","2012 CO2 (Gg)","2013 CO2 (Gg)","2014 CO2 (Gg)","2015 CO2 (Gg)","2016 CO2 (Gg)","2017 CO2 (Gg)"
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov",42.2,45.2,43.6,53.1,49.4,47.7,43.9,39.4
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti",4.5,3.1,2.6,3.6,3.7,4.5,3.9,3.1
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve",4.7,4.8,4.5,4.8,3.8,3.8,3.6,3.7
"L Poslovanje z nepremièninami",87.4,80.3,62.5,57.2,41.1,42.8,54.6,50.8
"L68 Poslovanje z nepremièninami",87.4,80.3,62.5,57.2,41.1,42.8,54.6,50.8
"M Strokovne, znanstvene in tehniène dejavnosti",228.0,224.7,199.1,186.6,199.0,209.6,219.8,218.0
"M(69-70) Pravne in raèunovodske dejavnosti; dejavnost uprav podjetij; podjetniško in poslovno svetovanje",70.9,71.6,65.4,59.7,75.9,83.9,87.6,82.4
"M71 Arhitekturno in tehnièno projektiranje; tehnièno preizkušanje in analiziranje",107.3,101.4,88.5,83.9,81.0,81.9,85.8,88.0
"M72 Znanstvena raziskovalna in razvojna dejavnost",22.3,22.5,17.1,16.4,15.9,17.1,17.6,16.7
"M73 Oglaševanje in raziskovanje trga",9.9,10.6,10.2,10.1,10.0,9.6,9.8,10.5
"M(74-75) Druge strokovne in tehniène dejavnosti; veterinarstvo",17.5,18.6,17.9,16.5,16.3,17.1,19.0,20.5
"N Druge raznovrstne poslovne dejavnosti",161.6,176.3,170.6,142.8,154.7,174.3,189.0,214.6
"N77 Dajanje v najem in zakup",49.0,54.2,53.4,35.1,43.5,56.7,64.6,78.1
"N78 Zaposlovalne dejavnosti",5.6,5.9,4.9,3.2,3.8,5.6,7.4,9.3
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti",2.9,3.2,3.8,3.6,3.7,4.0,4.5,4.8
"N(80-82) Varovanje in poizvedovalne dejavnosti; dejavnost oskrbe stavb in okolice; pisarniške in spremljajoèe poslovne storitvene dejavnosti",104.1,113.0,108.5,101.0,103.8,108.0,112.5,122.4
"O Dejavnost javne uprave in obrambe; dejavnost obvezne socialne varnosti",41.6,43.5,42.2,33.8,61.8,76.0,85.6,80.6
"O84 Dejavnost javne uprave in obrambe; dejavnost obvezne socialne varnosti",41.6,43.5,42.2,33.8,61.8,76.0,85.6,80.6
"P Izobraževanje",118.0,106.9,83.2,85.9,76.8,83.8,94.7,82.1
"P85 Izobraževanje",118.0,106.9,83.2,85.9,76.8,83.8,94.7,82.1
"Q Zdravstvo in socialno varstvo",121.4,112.5,86.1,88.7,82.0,92.8,111.8,93.7
"Q86 Zdravstvo",89.5,82.9,62.6,64.7,57.2,64.7,77.6,64.3
"Q(87-88) Socialno varstvo",31.9,29.6,23.5,24.0,24.9,28.0,34.2,29.5
"R Kulturne, razvedrilne in rekreacijske dejavnosti",61.2,60.5,56.3,54.0,37.6,40.4,45.1,44.6
"R(90-92) Kulturne in razvedrilne dejavnosti; dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti; prirejanje iger na sreèo",32.4,32.4,29.5,26.5,23.0,25.3,27.8,28.2
"R93 Športne in druge dejavnosti za prosti èas",28.8,28.1,26.8,27.5,14.6,15.1,17.2,16.5
"S Druge dejavnosti",75.0,74.5,65.4,64.1,57.2,59.6,65.2,64.8
"S94 Dejavnost èlanskih organizacij",12.6,11.6,10.2,10.3,4.8,4.8,5.3,5.2
"S95 Popravila raèunalnikov in izdelkov za široko rabo",15.2,16.3,15.6,15.0,13.2,13.6,14.2,15.8
"S96 Druge storitvene dejavnosti",47.2,46.7,39.6,38.8,39.2,41.1,45.7,43.8
"T Dejavnost gospodinjstev z zaposlenim hišnim osebjem; proizvodnja za lastno rabo",...,...,...,...,...,...,...,...
"T(97-98) Dejavnost gospodinjstev z zaposlenim hišnim osebjem; raznovrstna proizvodnja gospodinjstev za lastno rabo",...,...,...,...,...,...,...,...
"U Dejavnost eksteritorialnih organizacij in teles",-,-,-,-,-,-,-,-
"U99 Dejavnost eksteritorialnih organizacij in teles",...,...,...,...,...,...,...,...
"Gospodinjstva - SKUPAJ",3927.2,3877.7,3775.4,3651.2,3371.8,3489.0,3547.3,3469.7
"Gospodinjstva - promet",2714.6,2841.1,2830.9,2829.7,2711.1,2781.3,2847.5,2788.3
"Gospodinjstva - ogrevanje/hlajenje",1207.8,1031.7,940.7,819.2,655.8,702.8,696.1,677.1
"Gospodinjstva - drugo",4.8,4.9,3.8,2.3,4.8,4.9,3.7,4.3
